product_id,product_name,current_url
95199,Engagement Ring Amanda 2.0crt,https://www.glamira.co.uk/glamira-ring-amanda-2.0crt.html?diamond=amethyst&alloy=white_red-585
92003,Damen anhänger Pearly,https://www.glamira.de/glamira-anhanger-pearly.html?alloy=white-585&diamond=diamond-Brillant&pearl=white_pearl
90393,Zásnubní prsten Fausta,https://www.glamira.cz/glamira-prsten-fausta.html?diamond=diamond-Brillant&stone2=diamond&utm_source=recommendation&utm_medium=sorting&alloy=white-750
100034,Dames Hanger Elise,https://www.glamira.nl/glamira-hanger-elise.html?alloy=red-750&diamond=aquamarine&stone2=bluediamond
89592,Bague pour homme Cool Breeze,https://www.glamira.fr/glamira-bague-pour-hommes-cool-breeze.html?alloy=yellow-750&diamond=ruby&synthetic=labruby
100016,GLAMIRA Ring Reyneke,https://www.glamira.com/glamira-ring-reyneke.html?diamond=diamond-sapphire&stone2=diamond-Brillant&alloy=red-585
94244,Heren Trouwring Classic 4mm,https://www.glamira.nl/herenring-classic-4mm.html?alloy=white-375
89436,GLAMIRA Prsten Patricia,https://www.glamira.cz/glamira-prsten-patricia.html?alloy=white-585&diamond=garnet
104040,Dámsky náušnice Hanzila,https://www.glamira.sk/glamira-earring-hanzila.html?alloy=white-375&diamond=diamond-Brillant&stone2=emerald
92370,Engagement Ring Sadie,https://www.glamira.ca/glamira-ring-sadie.html?diamond=diamond-sapphire&alloy=white-750&stone2=diamond-sapphire&stone3=diamond-sapphire
110002,Engagement Ring Aithen,https://www.glamira.com/glamira-ring-aithen.html?stone3=diamond-sapphire&diamond=ruby&alloy=red-585&stone2=diamond-Brillant
110391,Colgante para hombre Bobbie,https://www.glamira.cl/glamira-pendant-bobbie.html?alloy=red-375
89431,Verlovingsring Tina,https://www.glamira.nl/glamira-ringen-tina.html?alloy=white-375&diamond=sapphire&stone2=diamond-Brillant
101312,Anello da uomo Aljerino,https://www.glamira.it/anelli-da-uomo-glamira-aljerino.html?alloy=white-585&diamond=emerald&stone2=diamond-Brillant
103352,Glamira Anillo Maharlika,https://www.glamira.es/glamira-anillo-maharlika.html?alloy=white-palladium&diamond=diamond-Brillant&stone2=bluediamond
92275,Forlovelsesring Amay 0.2 crt,https://www.glamira.no/glamira-ringer-amay-0.2-crt.html?alloy=white-375&diamond=diamond-sapphire&stone2=diamond-Swarovsky
91046,Engagement Ring Abella 0.16 crt,https://www.glamira.ca/glamira-ring-abella-0-16-crt.html?alloy=red-585&diamond=diamond-Brillant&itm_medium=sorting&itm_source=recommendation&stone2=diamond-Brillant
102509,Verlobungsring Oiffe,https://www.glamira.de/glamira-ring-oiffe.html?alloy=red-585&diamond=diamond-Swarovsky&stone2=diamond-sapphire
96459,Engagement Ring Cadence,https://www.glamira.com/glamira-ring-cadence.html?alloy=white-585&stone2=diamond-sapphire&diamond=diamond-Brillant
101868,GLAMIRA Ring Jordana,https://www.glamira.com.au/glamira-ring-jordana.html?alloy=white_red-585
84792,Anello da uomo Hercules,https://www.glamira.it/anelli-da-uomo-glamira-hercules.html?alloy=white-585&diamond=emerald-Swarovsky&stone2=diamond-Swarovsky
99784,Dames Armband Inari,https://www.glamira.nl/glamira-armbanden-inari.html?alloy=yellow-585&diamond=diamond-sapphire
80315,Wedding Ring Smart Queen,https://www.glamira.ca/smart-queen.html?alloy=yellow-585&stone=diamond-Brillant
110444,Colgante para hombre Milan,https://www.glamira.cl/glamira-pendant-milan.html?alloy=red-750
100932,Glamira Armband Cherise,https://www.glamira.ch/glamira-armband-cherise.html?alloy=yellow-375
99682,Women's Wedding Ring Exotic Birth,https://www.glamira.com.au/women's-ring-exotic-birth.html?alloy=red_white-585&stone=diamond-Zirconia
103126,Verlobungsring Ebba,https://www.glamira.de/glamira-ring-ebba.html?stone2=diamond-sapphire&alloy=yellow-750&utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion&diamond=diamond-Brillant
